image,component_id,area_px,eq_diameter_px,eq_diameter_um,size_group,d_class_coverage,detected
0506tin1_1_45_crop_01.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.42857142857142855,1
0506tin1_1_45_crop_01.jpg,2,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
0506tin1_1_50_crop_03.jpg,1,29,6.076507779746499,3.3104814384058923,small_<=5um,0.0,0
0506tin1_1_69_crop_02.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,0.0,0
0506tin2_09-13_crop_01.jpg,1,272,18.609705966725112,10.13856781067184,large_>10um,0.7720588235294118,1
0506tin2_11-03_crop_01.jpg,1,117,12.205286835384658,6.649440267917561,medium_5-10um,0.0,0
0506tin2_11-07_crop_01.jpg,1,124,12.565098628628435,6.845465732876771,medium_5-10um,0.0,0
0506tin2_11-07_crop_01.jpg,2,145,13.58748446131949,7.402461534526857,medium_5-10um,0.0,0
0506tin2_11-07_crop_01.jpg,3,151,13.86575534383214,7.554063511319749,medium_5-10um,0.0,0
0506tin2_12-06_crop_00.jpg,1,184,15.306079714651624,8.338752228542203,medium_5-10um,0.0,0
0506tin2_14-10_crop_00.jpg,1,131,12.914889870235298,7.036032001304189,medium_5-10um,0.9923664122137404,1
0506tin2_15-04_crop_01.jpg,1,78,9.965574970333758,5.429245243837831,medium_5-10um,0.0,0
0506tin2_15-04_crop_02.jpg,1,96,11.055812783082736,6.023206804223474,medium_5-10um,0.0,0
0506tin2_15-04_crop_02.jpg,2,98,11.170383851240114,6.085625122155614,medium_5-10um,0.9183673469387755,1
0528_1-10_crop_00.jpg,1,116,12.153015559492998,6.6209628768117845,medium_5-10um,0.0,0
0528_1-10_crop_00.jpg,2,118,12.257335203001883,6.677796218595425,medium_5-10um,0.0,0
0528_1-10_crop_00.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
0528_1-10_crop_00.jpg,4,87,10.524820207108489,5.733922048832704,medium_5-10um,0.0,0
0528_1-10_crop_00.jpg,5,69,9.373021315815206,5.106422012856124,medium_5-10um,0.6956521739130435,1
