GT\Pred,bg,A,B,C,D,TINB/TINC,TIND,HH,XW,XQL,HC,SZ
bg,1036208706,59156,44392,52127,14332,45529,21413,30242,7872,14669,55642,4121
A,87091,322435,527,4036,30,300,226,2471,218,0,25,70
B,131567,595,329617,78680,168,0,0,121,0,0,7866,0
C,242140,6736,77432,400580,0,0,0,1697,187,0,1134,0
D,22948,0,188,0,59462,0,137,2,0,0,7135,695
TINB/TINC,157457,340,175,0,0,169208,28839,0,0,0,0,0
TIND,20446,0,0,0,0,7935,88510,0,0,0,871,0
HH,234764,0,52,0,0,0,0,131857,81,0,0,0
XW,76630,12,0,0,0,0,0,658,96047,0,32240,0
XQL,49844,0,0,0,0,0,0,0,2569,238913,6035,0
HC,72829,222,1504,1967,3215,76,423,0,7896,52,383624,749
SZ,3414,0,0,0,127,0,0,0,0,0,1136,21958
