class_id,class_name,precision,recall,f1,tp_px,fp_px,fn_px
0,bg,0.9989404013332837,0.9996628312817719,0.999301485740084,1036208706,1099130,349495
1,A,0.8278262164438146,0.7724307606802594,0.7991696873935,322435,67061,94994
2,B,0.7262093869178893,0.6008176969599756,0.6575893689881607,329617,124270,218997
3,C,0.7454176668713597,0.5488103947631613,0.6321806428805898,400580,136810,329326
4,D,0.7688985439780691,0.656552607461879,0.7082983424756254,59462,17872,31105
5,TINB/TINC,0.758616979304903,0.47527800482558513,0.5844159656827276,169208,53840,186811
6,TIND,0.6342620460343394,0.7516006861296514,0.6879639345536513,88510,51038,29252
7,HH,0.7893359992337532,0.359524367832389,0.49402962147013313,131857,35191,234897
8,XW,0.8361365021328458,0.46718420911828085,0.599437678066012,96047,18823,109540
9,XQL,0.9419596741761751,0.8034442983444365,0.8672056915217017,238913,14721,58448
10,HC,0.7738910810396443,0.8118047135054607,0.792394644028236,383624,112084,88933
11,SZ,0.7957815387960715,0.8244039797259245,0.809839935088884,21958,5635,4677
