image,inclusion_precision,inclusion_recall,inclusion_f1,gt_inclusion_objects,apparent_bg_strip_fp_components,apparent_bg_d_fp_components
0506tin1_1_30_crop_00.jpg,0.7588652482269503,0.7470907680372382,0.7529319781078968,12,26,0
0506tin1_1_30_crop_01.jpg,0.9837962962962963,0.17020424509411294,0.2902014339364971,3,1,0
0506tin1_1_32_crop_01.jpg,0.8848857644991213,0.41304347826086957,0.5631991051454138,4,9,0
0506tin1_1_32_crop_02.jpg,0.7092024539877301,0.19560067681895094,0.30663129973474795,3,14,0
0506tin1_1_33_crop_02.jpg,0.8262642740619902,0.7605105105105106,0.7920250195465207,3,10,0
0506tin1_1_35_crop_01.jpg,0.8976897689768977,0.43215761042262474,0.5834405834405834,9,16,0
0506tin1_1_37_crop_01.jpg,0.5614828209764918,0.5495575221238939,0.5554561717352415,6,9,0
0506tin1_1_39_crop_01.jpg,0.5192743764172335,0.7292993630573248,0.6066225165562913,5,14,0
0506tin1_1_40_crop_01.jpg,0.7716171617161716,0.668,0.7160796324655436,12,21,0
0506tin1_1_45_crop_01.jpg,0.7522123893805309,0.31135531135531136,0.4404145077720208,4,3,0
0506tin1_1_46_crop_02.jpg,0.7243675099866844,0.703751617076326,0.7139107611548557,4,10,1
0506tin1_1_47_crop_03.jpg,0.0,0.0,0.0,1,0,0
0506tin1_1_49_crop_00.jpg,0.7930443301493999,0.7250335871025526,0.7575154988887589,24,55,0
0506tin1_1_50_crop_01.jpg,0.4104938271604938,0.764367816091954,0.5341365461847389,4,3,0
0506tin1_1_50_crop_03.jpg,0.8111888111888111,0.5296803652968036,0.6408839779005525,3,2,0
0506tin1_1_55_crop_02.jpg,0.45956607495069035,0.17598187311178248,0.2545057345712725,6,6,0
0506tin1_1_56_crop_02.jpg,0.1703216374269006,0.8566176470588235,0.28414634146341466,2,11,0
0506tin1_1_58_crop_00.jpg,0.6755277560594214,0.3102333931777379,0.4251968503937008,6,15,0
0506tin1_1_62_crop_02.jpg,0.8686868686868687,0.9052631578947369,0.88659793814433,1,2,0
0506tin1_1_64_crop_01.jpg,0.843956043956044,0.8757126567844926,0.8595411303861219,3,14,0
0506tin1_1_65_crop_01.jpg,0.8421052631578947,0.5199409158050221,0.6429223744292237,7,12,0
0506tin1_1_68_crop_01.jpg,0.6567164179104478,0.946236559139785,0.7753303964757708,1,4,0
0506tin1_1_69_crop_02.jpg,0.4423841059602649,0.8835978835978836,0.589585172109444,4,5,0
0506tin1_1_71_crop_01.jpg,0.7975460122699386,0.6175771971496437,0.6961178045515395,5,4,0
0506tin2_01-03_crop_01.jpg,0.8053156146179402,0.697955657932623,0.7478019435446552,2,16,0
0506tin2_01-10_crop_00.jpg,0.8273195876288659,0.6032417195207893,0.6977312865099851,15,21,0
0506tin2_01-15_crop_01.jpg,0.976878612716763,0.5847750865051903,0.7316017316017316,1,1,0
0506tin2_01-16_crop_00.jpg,0.8118293640408271,0.5369568980439675,0.6463846634715567,20,33,0
0506tin2_01-16_crop_01.jpg,0.7698042870456664,0.6976351351351351,0.7319450598139122,2,10,0
0506tin2_01-21_crop_02.jpg,0.7852760736196319,0.8648648648648649,0.8231511254019293,1,3,0
0506tin2_02-01_crop_01.jpg,0.7155765920826161,0.810823988298391,0.7602285714285715,9,22,0
0506tin2_02-02_crop_00.jpg,0.560105680317041,0.8617886178861789,0.678943154523619,4,14,0
0506tin2_02-04_crop_03.jpg,0.7469879518072289,0.9538461538461539,0.8378378378378377,1,4,0
0506tin2_02-14_crop_02.jpg,0.6728971962616822,0.8571428571428571,0.7539267015706805,1,4,0
0506tin2_02-16_crop_02.jpg,0.0,0.0,0.0,1,2,0
0506tin2_02-18_crop_01.jpg,0.766497461928934,0.9263803680981595,0.8388888888888888,2,8,0
0506tin2_02-18_crop_02.jpg,0.0,0.0,0.0,1,0,0
0506tin2_02-21_crop_00.jpg,0.85234375,0.3557222041082491,0.5019553715205889,2,9,0
0506tin2_02-21_crop_01.jpg,0.0,0.0,0.0,1,0,0
0506tin2_03-02_crop_02.jpg,0.38288288288288286,0.7727272727272727,0.5120481927710843,1,4,0
0506tin2_03-03_crop_02.jpg,0.9052532833020638,0.6403450564034505,0.750097162844928,7,8,0
