image,component_id,area_px,eq_diameter_px,eq_diameter_um,gate_strip_coverage,strip_expert_tind_coverage,final_tind_coverage,gate_strip_detected,strip_expert_tind_detected,final_tind_detected
0506tin1_1_30_crop_00.jpg,1,60,8.740387444736633,4.761763079892518,0.8166666666666667,0.65,0.65,1,1,1
0506tin1_1_30_crop_00.jpg,2,99,11.227230955528665,6.116595424572016,0.7474747474747475,0.7676767676767676,0.7474747474747475,1,1,1
0506tin1_1_30_crop_00.jpg,3,157,14.138550439257221,7.702682279307333,0.802547770700637,0.8089171974522293,0.802547770700637,1,1,1
0506tin1_1_30_crop_00.jpg,4,61,8.812923024107548,4.801280463533791,0.9836065573770492,0.9836065573770492,0.9836065573770492,1,1,1
0506tin1_1_30_crop_00.jpg,5,143,13.493452297211721,7.351232811520945,0.8111888111888111,0.8111888111888111,0.8111888111888111,1,1,1
0506tin1_1_30_crop_00.jpg,6,98,11.170383851240114,6.085625122155614,0.673469387755102,0.4897959183673469,0.4897959183673469,1,1,1
0506tin1_1_30_crop_00.jpg,7,72,9.574614729634384,5.2162501047048115,0.8888888888888888,0.9027777777777778,0.8888888888888888,1,1,1
0506tin1_1_30_crop_00.jpg,8,39,7.046725639945928,3.839056128642541,0.8205128205128205,0.8205128205128205,0.8205128205128205,1,1,1
0506tin1_1_30_crop_00.jpg,9,112,11.941642642883693,6.5058069118430355,0.8303571428571429,0.8482142857142857,0.8392857142857143,1,1,1
0506tin1_1_30_crop_00.jpg,10,80,10.092530088080641,5.498410391986333,0.75,0.65,0.65,1,1,1
0506tin1_1_30_crop_00.jpg,11,87,10.524820207108489,5.733922048832704,0.9770114942528736,0.0,0.0,1,0,0
0506tin1_1_33_crop_02.jpg,1,96,11.055812783082736,6.023206804223474,0.0,0.0,0.0,0,0,0
0506tin1_1_35_crop_01.jpg,1,90,10.704744696916627,5.831944910880178,0.0,0.0,0.0,0,0,0
0506tin1_1_35_crop_01.jpg,2,83,10.280023453913834,5.6005567776922565,0.0,0.0,0.0,0,0,0
0506tin1_1_37_crop_01.jpg,1,110,11.834540545406394,6.447457689137403,0.9272727272727272,0.03636363636363636,0.03636363636363636,1,0,0
0506tin1_1_37_crop_01.jpg,2,157,14.138550439257221,7.702682279307333,0.9299363057324841,0.0,0.0,1,0,0
0506tin1_1_37_crop_01.jpg,3,190,15.553633450087505,8.473619503607672,0.7105263157894737,0.7315789473684211,0.7157894736842105,1,1,1
0506tin1_1_37_crop_01.jpg,4,51,8.058239062071396,4.390128641016496,0.058823529411764705,0.0196078431372549,0.0196078431372549,0,0,0
0506tin1_1_39_crop_01.jpg,1,72,9.574614729634384,5.2162501047048115,0.8194444444444444,0.8333333333333334,0.8333333333333334,1,1,1
0506tin1_1_39_crop_01.jpg,2,37,6.863662517577698,3.7393233395763295,0.05405405405405406,0.0,0.0,0,0,0
0506tin1_1_39_crop_01.jpg,3,75,9.772050238058398,5.323812969694215,0.76,0.76,0.76,1,1,1
0506tin1_1_39_crop_01.jpg,4,45,7.569397566060481,4.12380779398975,0.9111111111111111,0.9333333333333333,0.9333333333333333,1,1,1
0506tin1_1_39_crop_01.jpg,5,85,10.403141895720198,5.667631704788364,0.8235294117647058,0.8352941176470589,0.8235294117647058,1,1,1
0506tin1_1_40_crop_01.jpg,1,96,11.055812783082736,6.023206804223474,0.78125,0.0,0.0,1,0,0
0506tin1_1_40_crop_01.jpg,2,109,11.780624362746345,6.418084152824208,0.8899082568807339,0.8807339449541285,0.8807339449541285,1,1,1
0506tin1_1_40_crop_01.jpg,3,281,18.91508160359296,10.304936457637444,0.9750889679715302,0.9786476868327402,0.9715302491103203,1,1,1
0506tin1_1_40_crop_01.jpg,4,44,7.48482063701911,4.077730283048011,0.0,0.0,0.0,0,0,0
0506tin1_1_40_crop_01.jpg,5,59,8.667244841319219,4.72191498955071,0.0,0.0,0.0,0,0,0
0506tin1_1_40_crop_01.jpg,6,136,13.159049284959082,7.169050050445707,0.7352941176470589,0.7647058823529411,0.7573529411764706,1,1,1
0506tin1_1_40_crop_01.jpg,7,26,5.753627391751592,3.134576203026267,0.6923076923076923,0.8076923076923077,0.6923076923076923,1,1,1
0506tin1_1_40_crop_01.jpg,8,172,14.798554040663838,8.062252241353658,0.8372093023255814,0.8604651162790697,0.8488372093023255,1,1,1
0506tin1_1_40_crop_01.jpg,9,101,11.340070282773887,6.178070290055213,0.8910891089108911,0.7821782178217822,0.7821782178217822,1,1,1
0506tin1_1_40_crop_01.jpg,10,90,10.704744696916627,5.831944910880178,0.5777777777777777,0.6222222222222222,0.6222222222222222,1,1,1
0506tin1_1_40_crop_01.jpg,11,100,11.283791670955125,6.147409702336351,0.65,0.68,0.66,1,1,1
0506tin1_1_45_crop_01.jpg,1,68,9.304852983362556,5.06928390533592,0.0,0.0,0.0,0,0,0
0506tin1_1_45_crop_01.jpg,2,107,11.67204486311899,6.358930041427225,0.794392523364486,0.8037383177570093,0.794392523364486,1,1,1
0506tin1_1_46_crop_02.jpg,1,339,20.775663783985824,11.318581629515476,0.9528023598820059,0.967551622418879,0.9587020648967551,1,1,1
0506tin1_1_46_crop_02.jpg,2,65,9.09728368293446,4.956200150462694,0.26153846153846155,0.0,0.0,0,0,0
0506tin1_1_46_crop_02.jpg,3,131,12.914889870235298,7.036032001304189,0.7175572519083969,0.7251908396946565,0.7251908396946565,1,1,1
