GT\Pred,bg,A,B,C,D,TINB/TINC,TIND,HH,XW,XQL,HC,SZ
bg,0.999465,0.000065,0.000067,0.000112,0.000012,0.000058,0.000013,0.000066,0.000010,0.000043,0.000087,0.000003
A,0.182249,0.801657,0.001258,0.009173,0.000072,0.000577,0.000098,0.004420,0.000208,0.000000,0.000137,0.000151
B,0.163242,0.001527,0.692737,0.129428,0.000689,0.000000,0.000000,0.000206,0.000000,0.000000,0.012171,0.000000
C,0.203356,0.009611,0.127943,0.656412,0.000000,0.000000,0.000000,0.001706,0.000489,0.000000,0.000484,0.000000
D,0.241004,0.000000,0.012212,0.000596,0.642607,0.000000,0.001546,0.000530,0.000000,0.000000,0.093113,0.008392
TINB/TINC,0.416118,0.001180,0.000261,0.000000,0.000000,0.533545,0.048896,0.000000,0.000000,0.000000,0.000000,0.000000
TIND,0.219162,0.000586,0.000000,0.000000,0.000000,0.110035,0.662361,0.000000,0.000000,0.000000,0.007855,0.000000
HH,0.586442,0.000976,0.000502,0.000562,0.000000,0.000000,0.000000,0.411254,0.000264,0.000000,0.000000,0.000000
XW,0.224192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006834,0.649934,0.002155,0.116885,0.000000
XQL,0.142662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013741,0.818335,0.025262,0.000000
HC,0.104193,0.000391,0.011734,0.001820,0.006979,0.001039,0.000324,0.000000,0.012233,0.000000,0.860190,0.001096
SZ,0.126112,0.000000,0.000000,0.000000,0.015468,0.000000,0.000000,0.000000,0.000000,0.000000,0.064051,0.794368
